"No.","Time","Source","Destination","Protocol","Length","Info"
"131","22.426915","127.0.0.1","127.0.0.1","TCP","56","51891  >  12345 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"132","22.427105","127.0.0.1","127.0.0.1","TCP","56","12345  >  51891 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"133","22.427284","127.0.0.1","127.0.0.1","TCP","44","51891  >  12345 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"134","22.455244","127.0.0.1","127.0.0.1","TCP","46","12345  >  51891 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=2"
"135","22.455308","127.0.0.1","127.0.0.1","TCP","44","51891  >  12345 [ACK] Seq=1 Ack=3 Win=2619648 Len=0"
"136","22.455517","127.0.0.1","127.0.0.1","TCP","52","51891  >  12345 [PSH, ACK] Seq=1 Ack=3 Win=2619648 Len=8"
"137","22.455587","127.0.0.1","127.0.0.1","TCP","44","12345  >  51891 [ACK] Seq=3 Ack=9 Win=2619648 Len=0"
"138","22.455694","127.0.0.1","127.0.0.1","TCP","61","12345  >  51891 [PSH, ACK] Seq=3 Ack=9 Win=2619648 Len=17"
"139","22.455716","127.0.0.1","127.0.0.1","TCP","44","51891  >  12345 [ACK] Seq=9 Ack=20 Win=2619648 Len=0"
"140","22.455757","127.0.0.1","127.0.0.1","TCP","67","12345  >  51891 [PSH, ACK] Seq=20 Ack=9 Win=2619648 Len=23"
"141","22.455775","127.0.0.1","127.0.0.1","TCP","44","51891  >  12345 [ACK] Seq=9 Ack=43 Win=2619648 Len=0"
"233","37.257335","127.0.0.1","127.0.0.1","TCP","56","51900  >  12345 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"234","37.257439","127.0.0.1","127.0.0.1","TCP","56","12345  >  51900 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"235","37.257506","127.0.0.1","127.0.0.1","TCP","44","51900  >  12345 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"236","37.292362","127.0.0.1","127.0.0.1","TCP","46","12345  >  51900 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=2"
"237","37.292439","127.0.0.1","127.0.0.1","TCP","44","51900  >  12345 [ACK] Seq=1 Ack=3 Win=2619648 Len=0"
"238","37.292701","127.0.0.1","127.0.0.1","TCP","52","51900  >  12345 [PSH, ACK] Seq=1 Ack=3 Win=2619648 Len=8"
"239","37.292735","127.0.0.1","127.0.0.1","TCP","44","12345  >  51900 [ACK] Seq=3 Ack=9 Win=2619648 Len=0"
"240","37.293505","127.0.0.1","127.0.0.1","TCP","68","12345  >  51891 [PSH, ACK] Seq=43 Ack=9 Win=2619648 Len=24"
"241","37.293579","127.0.0.1","127.0.0.1","TCP","44","51891  >  12345 [ACK] Seq=9 Ack=67 Win=2619648 Len=0"
"242","37.298173","127.0.0.1","127.0.0.1","TCP","68","12345  >  51900 [PSH, ACK] Seq=3 Ack=9 Win=2619648 Len=24"
"243","37.298253","127.0.0.1","127.0.0.1","TCP","44","51900  >  12345 [ACK] Seq=9 Ack=27 Win=2619648 Len=0"
"244","37.298518","127.0.0.1","127.0.0.1","TCP","67","12345  >  51891 [PSH, ACK] Seq=67 Ack=9 Win=2619648 Len=23"
"245","37.298622","127.0.0.1","127.0.0.1","TCP","44","51891  >  12345 [ACK] Seq=9 Ack=90 Win=2619648 Len=0"
"246","37.310249","127.0.0.1","127.0.0.1","TCP","67","12345  >  51900 [PSH, ACK] Seq=27 Ack=9 Win=2619648 Len=23"
"247","37.310295","127.0.0.1","127.0.0.1","TCP","44","51900  >  12345 [ACK] Seq=9 Ack=50 Win=2619648 Len=0"
"254","42.650398","127.0.0.1","127.0.0.1","TCP","47","51900  >  12345 [PSH, ACK] Seq=9 Ack=50 Win=2619648 Len=3"
"255","42.650442","127.0.0.1","127.0.0.1","TCP","44","12345  >  51900 [ACK] Seq=50 Ack=12 Win=2619648 Len=0"
"256","42.650494","127.0.0.1","127.0.0.1","TCP","56","12345  >  51891 [PSH, ACK] Seq=90 Ack=9 Win=2619648 Len=12[Malformed Packet]"
"257","42.650525","127.0.0.1","127.0.0.1","TCP","44","51891  >  12345 [ACK] Seq=9 Ack=102 Win=2619648 Len=0"
"278","46.340466","127.0.0.1","127.0.0.1","TCP","56","51900  >  12345 [PSH, ACK] Seq=12 Ack=50 Win=2619648 Len=12[Malformed Packet]"
"279","46.340515","127.0.0.1","127.0.0.1","TCP","44","12345  >  51900 [ACK] Seq=50 Ack=24 Win=2619648 Len=0"
"280","46.340581","127.0.0.1","127.0.0.1","TCP","65","12345  >  51891 [PSH, ACK] Seq=102 Ack=9 Win=2619648 Len=21"
"281","46.340616","127.0.0.1","127.0.0.1","TCP","44","51891  >  12345 [ACK] Seq=9 Ack=123 Win=2619648 Len=0"
"340","64.722812","127.0.0.1","127.0.0.1","TCP","100","51891  >  12345 [PSH, ACK] Seq=9 Ack=123 Win=2619648 Len=56"
"341","64.722866","127.0.0.1","127.0.0.1","TCP","44","12345  >  51891 [ACK] Seq=123 Ack=65 Win=2619648 Len=0"
"342","64.722915","127.0.0.1","127.0.0.1","TCP","109","12345  >  51900 [PSH, ACK] Seq=50 Ack=24 Win=2619648 Len=65"
"343","64.722937","127.0.0.1","127.0.0.1","TCP","44","51900  >  12345 [ACK] Seq=24 Ack=115 Win=2619648 Len=0"
"365","73.273337","127.0.0.1","127.0.0.1","TCP","62","51900  >  12345 [PSH, ACK] Seq=24 Ack=115 Win=2619648 Len=18"
"366","73.273379","127.0.0.1","127.0.0.1","TCP","44","12345  >  51900 [ACK] Seq=115 Ack=42 Win=2619648 Len=0"
"367","73.273445","127.0.0.1","127.0.0.1","TCP","71","12345  >  51891 [PSH, ACK] Seq=123 Ack=65 Win=2619648 Len=27"
"368","73.273478","127.0.0.1","127.0.0.1","TCP","44","51891  >  12345 [ACK] Seq=65 Ack=150 Win=2619648 Len=0"
"394","83.511211","127.0.0.1","127.0.0.1","TCP","64","51900  >  12345 [PSH, ACK] Seq=42 Ack=115 Win=2619648 Len=20"
"395","83.511251","127.0.0.1","127.0.0.1","TCP","44","12345  >  51900 [ACK] Seq=115 Ack=62 Win=2619648 Len=0"
"396","83.511291","127.0.0.1","127.0.0.1","TCP","73","12345  >  51891 [PSH, ACK] Seq=150 Ack=65 Win=2619648 Len=29"
"397","83.511316","127.0.0.1","127.0.0.1","TCP","44","51891  >  12345 [ACK] Seq=65 Ack=179 Win=2619392 Len=0"
"419","92.263041","127.0.0.1","127.0.0.1","TCP","81","51891  >  12345 [PSH, ACK] Seq=65 Ack=179 Win=2619392 Len=37"
"420","92.263101","127.0.0.1","127.0.0.1","TCP","44","12345  >  51891 [ACK] Seq=179 Ack=102 Win=2619648 Len=0"
"421","92.263172","127.0.0.1","127.0.0.1","TCP","90","12345  >  51900 [PSH, ACK] Seq=115 Ack=62 Win=2619648 Len=46"
"422","92.263207","127.0.0.1","127.0.0.1","TCP","44","51900  >  12345 [ACK] Seq=62 Ack=161 Win=2619392 Len=0"
